13_plasma-1-TruSeq_isomiRs.gff,13_plasma-1-TruSeq
14_plasma-2-TruSeq_isomiRs.gff,14_plasma-2-TruSeq
15_plasma-3-TruSeq_isomiRs.gff,15_plasma-3-TruSeq
16_plasma-4-TruSeq_isomiRs.gff,16_plasma-4-TruSeq
29_plasma-1-4N_isomiRs.gff,29_step2
30_plasma-2-4N_isomiRs.gff,30_step2
31_plasma-3-4N_isomiRs.gff,31_step2
32_plasma-4-4N_isomiRs.gff,32_step2
4N-Plasma-1_S85398_GAGTGG_isomiRs.gff,4N-Plasma-1_step2
4N-Plasma-2_S85399_GGTAGC_isomiRs.gff,4N-Plasma-2_step2
4N-Plasma-3_S85400_ACTGAT_isomiRs.gff,4N-Plasma-3_step2
4N-Plasma-4_S85401_ATGAGC_isomiRs.gff,4N-Plasma-4_step2
DE-PlasmaMP-NEB-1_S1_R1_001_isomiRs.gff,DE-PlasmaMP-NEB-1_S1_R1_001
DE-PlasmaMP-NEB-2_S2_R1_001_isomiRs.gff,DE-PlasmaMP-NEB-2_S2_R1_001
DE-PlasmaMP-NEB-3_S3_R1_001_isomiRs.gff,DE-PlasmaMP-NEB-3_S3_R1_001
DE-PlasmaMP-NEB-4_S4_R1_001_isomiRs.gff,DE-PlasmaMP-NEB-4_S4_R1_001
DG-PlasmaMP-NEB-1_S18_R1_001_isomiRs.gff,DG-PlasmaMP-NEB-1_S18_R1_001
DG-PlasmaMP-NEB-2_S19_R1_001_isomiRs.gff,DG-PlasmaMP-NEB-2_S19_R1_001
DG-PlasmaMP-NEB-3_S20_R1_001_isomiRs.gff,DG-PlasmaMP-NEB-3_S20_R1_001
DG-PlasmaMP-NEB-4_S21_R1_001_isomiRs.gff,DG-PlasmaMP-NEB-4_S21_R1_001
IG1_PlasmaMP_NEB_1_R1_trimmed_isomiRs.gff,IG1_PlasmaMP_NEB_1_R1_trimmed
IG2_PlasmaMP_NEB_2_R1_trimmed_isomiRs.gff,IG2_PlasmaMP_NEB_2_R1_trimmed
IG3_PlasmaMP_NEB_3_R1_trimmed_isomiRs.gff,IG3_PlasmaMP_NEB_3_R1_trimmed
IG4_PlasmaMP_NEB_4_R1_trimmed_isomiRs.gff,IG4_PlasmaMP_NEB_4_R1_trimmed
IG5_TruSeq_PlasmaMP_1_R1__final_isomiRs.gff,IG5_TruSeq_PlasmaMP_1_R1__final
IG6_TruSeq_PlasmaMP_2_R1__final_isomiRs.gff,IG6_TruSeq_PlasmaMP_2_R1__final
IG7_TruSeq_PlasmaMP_3_R1__final_isomiRs.gff,IG7_TruSeq_PlasmaMP_3_R1__final
IG8_TruSeq_PlasmaMP_4_R1__final_isomiRs.gff,IG8_TruSeq_PlasmaMP_4_R1__final
NEB-Plasma-1_S85553_AGTCAA_isomiRs.gff,NEB-Plasma-1_S85553_AGTCAA
NEB-Plasma-2_S85554_AGTTCC_isomiRs.gff,NEB-Plasma-2_S85554_AGTTCC
NEB-Plasma-3_S85555_ATGTCA_isomiRs.gff,NEB-Plasma-3_S85555_ATGTCA
NEB-Plasma-4_S85556_CCGTCC_isomiRs.gff,NEB-Plasma-4_S85556_CCGTCC
PT_37_S5_L001_R1_001_isomiRs.gff,PT_37_S5_L001_R1_001
PT_38_S6_L001_R1_001_isomiRs.gff,PT_38_S6_L001_R1_001
PT_39_S7_L001_R1_001_isomiRs.gff,PT_39_S7_L001_R1_001
PT_40_S8_L001_R1_001_isomiRs.gff,PT_40_S8_L001_R1_001
Plas_G13_S13_L006_R1_001_isomiRs.gff,Plas_G13_step2
Plas_G14_S14_L006_R1_001_isomiRs.gff,Plas_G14_step2
Plas_G15_S15_L006_R1_001_isomiRs.gff,Plas_G15_step2
Plas_G16_S16_L006_R1_001_isomiRs.gff,Plas_G16_step2
Plas_N13_S13_L008_R1_001_isomiRs.gff,Plas_N13_S13_L008_R1_001
Plas_N14_S14_L008_R1_001_isomiRs.gff,Plas_N14_S14_L008_R1_001
Plas_N15_S15_L008_R1_001_isomiRs.gff,Plas_N15_S15_L008_R1_001
Plas_N16_S16_L008_R1_001_isomiRs.gff,Plas_N16_S16_L008_R1_001
Plasma4NG-1_63790_ATGAGC_S9_L006_R1_001_isomiRs.gff,Plasma4NG-1_63790_ATGAGC_step2
Plasma4NG-2_63791_ATTCCT_S10_L006_R1_001_isomiRs.gff,Plasma4NG-2_63791_ATTCCT_step2
Plasma4NG-3_63792_CAAAAG_S11_L006_R1_001_isomiRs.gff,Plasma4NG-3_63792_CAAAAG_step2
Plasma4NG-4_63793_CAACTA_S12_L006_R1_001_isomiRs.gff,Plasma4NG-4_63793_CAACTA_step2
Plasma4NXu-1_63794_CACCGG_S13_L006_R1_001_isomiRs.gff,Plasma4NXu-1_63794_CACCGG_step2
Plasma4NXu-2_63795_CACGAT_S14_L006_R1_001_isomiRs.gff,Plasma4NXu-2_63795_CACGAT_step2
Plasma4NXu-3_63796_CACTCA_S15_L006_R1_001_isomiRs.gff,Plasma4NXu-3_63796_CACTCA_step2
Plasma4NXu-4_63797_CAGGCG_S16_L006_R1_001_isomiRs.gff,Plasma4NXu-4_63797_CAGGCG_step2
PlasmaCleanTag1_63782_TGACCA_S1_L006_R1_001_isomiRs.gff,PlasmaCleanTag1_63782_TGACCA_S1_L006_R1_001
PlasmaCleanTag2_63783_ACAGTG_S2_L006_R1_001_isomiRs.gff,PlasmaCleanTag2_63783_ACAGTG_S2_L006_R1_001
PlasmaCleanTag3_63784_GCCAAT_S3_L006_R1_001_isomiRs.gff,PlasmaCleanTag3_63784_GCCAAT_S3_L006_R1_001
PlasmaCleanTag4_63785_CAGATC_S4_L006_R1_001_isomiRs.gff,PlasmaCleanTag4_63785_CAGATC_S4_L006_R1_001
PlasmaMP-Alt-1_isomiRs.gff,PlasmaMP-Alt-1_step2
PlasmaMP-Alt-2_isomiRs.gff,PlasmaMP-Alt-2_step2
PlasmaMP-Alt-3_isomiRs.gff,PlasmaMP-Alt-3_step2
PlasmaMP-Alt-4_isomiRs.gff,PlasmaMP-Alt-4_step2
PlasmaMP-TruSeq-1_isomiRs.gff,PlasmaMP-TruSeq-1
PlasmaMP-TruSeq-2_isomiRs.gff,PlasmaMP-TruSeq-2
PlasmaMP-TruSeq-3_isomiRs.gff,PlasmaMP-TruSeq-3
PlasmaMP-TruSeq-4_isomiRs.gff,PlasmaMP-TruSeq-4
PlasmaTruSeq-1_63786_CCGTCC_S5_L006_R1_001_isomiRs.gff,PlasmaTruSeq-1_63786_CCGTCC_S5_L006_R1_001
PlasmaTruSeq-2_63787_GTAGAG_S6_L006_R1_001_isomiRs.gff,PlasmaTruSeq-2_63787_GTAGAG_S6_L006_R1_001
PlasmaTruSeq-3_63788_GTCCGC_S7_L006_R1_001_isomiRs.gff,PlasmaTruSeq-3_63788_GTCCGC_S7_L006_R1_001
PlasmaTruSeq-4_63789_GTGAAA_S8_L006_R1_001_isomiRs.gff,PlasmaTruSeq-4_63789_GTGAAA_S8_L006_R1_001
TruSeq_Plasma_1_S123_L008_R1_001_isomiRs.gff,TruSeq_Plasma_1_S123_step2
TruSeq_Plasma_2_S124_L008_R1_001_isomiRs.gff,TruSeq_Plasma_2_S124_step2
TruSeq_Plasma_3_S125_L008_R1_001_isomiRs.gff,TruSeq_Plasma_3_S125_step2
TruSeq_Plasma_4_S126_L008_R1_001_isomiRs.gff,TruSeq_Plasma_4_S126_step2
U01-plasma-A_S1_L001_R1_001_isomiRs.gff,U01-plasma-A_S1_L001_step2
U01-plasma-A_S1_L002_R1_001_isomiRs.gff,U01-plasma-A_S1_L002_step2
U01-plasma-A_S1_L003_R1_001_isomiRs.gff,U01-plasma-A_S1_L003_step2
U01-plasma-A_S1_L004_R1_001_isomiRs.gff,U01-plasma-A_S1_L004_step2
U01-plasma-B_S2_L001_R1_001_isomiRs.gff,U01-plasma-B_S2_L001_step2
U01-plasma-B_S2_L002_R1_001_isomiRs.gff,U01-plasma-B_S2_L002_step2
U01-plasma-B_S2_L003_R1_001_isomiRs.gff,U01-plasma-B_S2_L003_step2
U01-plasma-B_S2_L004_R1_001_isomiRs.gff,U01-plasma-B_S2_L004_step2
U01-plasma-C_S3_L001_R1_001_isomiRs.gff,U01-plasma-C_S3_L001_step2
U01-plasma-C_S3_L002_R1_001_isomiRs.gff,U01-plasma-C_S3_L002_step2
U01-plasma-C_S3_L003_R1_001_isomiRs.gff,U01-plasma-C_S3_L003_step2
U01-plasma-C_S3_L004_R1_001_isomiRs.gff,U01-plasma-C_S3_L004_step2
U01-plasma-D_S4_L001_R1_001_isomiRs.gff,U01-plasma-D_S4_L001_step2
U01-plasma-D_S4_L002_R1_001_isomiRs.gff,U01-plasma-D_S4_L002_step2
U01-plasma-D_S4_L003_R1_001_isomiRs.gff,U01-plasma-D_S4_L003_step2
