AvgSpotLen	BioSample	Experiment	Instrument	LoadDate	MBases	MBytes	Platform	Run	SRA_Sample	Sample_Name	lab	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	Organism	ReleaseDate	SRA_Study	pool	source_name
52	SAMN06309302	SRX2541783	Illumina HiSeq 2500	2017-02-06	584	194	ILLUMINA	SRR5234257	SRS1960974	GSM2478867	Lab5	miRNA-Seq	PRJNA371514	GEO	public	sra	ncbi	0	SINGLE	size fractionation	TRANSCRIPTOMIC	synthetic construct	2018-07-09	SRP098948	SynthEQ	Synthetic smallRNA; Equimolar Pool
52	SAMN06309302	SRX2541783	Illumina HiSeq 2500	2017-02-06	535	178	ILLUMINA	SRR5234258	SRS1960974	GSM2478867	Lab5	miRNA-Seq	PRJNA371514	GEO	public	sra	ncbi	0	SINGLE	size fractionation	TRANSCRIPTOMIC	synthetic construct	2018-07-09	SRP098948	SynthEQ	Synthetic smallRNA; Equimolar Pool
52	SAMN06309302	SRX2541783	Illumina HiSeq 2500	2017-02-06	580	194	ILLUMINA	SRR5234259	SRS1960974	GSM2478867	Lab5	miRNA-Seq	PRJNA371514	GEO	public	sra	ncbi	0	SINGLE	size fractionation	TRANSCRIPTOMIC	synthetic construct	2018-07-09	SRP098948	SynthEQ	Synthetic smallRNA; Equimolar Pool
52	SAMN06309302	SRX2541783	Illumina HiSeq 2500	2017-02-06	608	205	ILLUMINA	SRR5234260	SRS1960974	GSM2478867	Lab5	miRNA-Seq	PRJNA371514	GEO	public	sra	ncbi	0	SINGLE	size fractionation	TRANSCRIPTOMIC	synthetic construct	2018-07-09	SRP098948	SynthEQ	Synthetic smallRNA; Equimolar Pool
50	SAMN06309321	SRX2541784	NextSeq 500	2017-02-06	731	258	ILLUMINA	SRR5234261	SRS1960975	GSM2478868	Lab2	miRNA-Seq	PRJNA371514	GEO	public	sra	ncbi	0	SINGLE	size fractionation	TRANSCRIPTOMIC	synthetic construct	2018-07-09	SRP098948	SynthEQ	Synthetic smallRNA; Equimolar Pool
50	SAMN06309321	SRX2541784	NextSeq 500	2017-02-06	788	274	ILLUMINA	SRR5234262	SRS1960975	GSM2478868	Lab2	miRNA-Seq	PRJNA371514	GEO	public	sra	ncbi	0	SINGLE	size fractionation	TRANSCRIPTOMIC	synthetic construct	2018-07-09	SRP098948	SynthEQ	Synthetic smallRNA; Equimolar Pool
50	SAMN06309321	SRX2541784	NextSeq 500	2017-02-06	741	264	ILLUMINA	SRR5234263	SRS1960975	GSM2478868	Lab2	miRNA-Seq	PRJNA371514	GEO	public	sra	ncbi	0	SINGLE	size fractionation	TRANSCRIPTOMIC	synthetic construct	2018-07-09	SRP098948	SynthEQ	Synthetic smallRNA; Equimolar Pool
50	SAMN06309321	SRX2541784	NextSeq 500	2017-02-06	710	249	ILLUMINA	SRR5234264	SRS1960975	GSM2478868	Lab2	miRNA-Seq	PRJNA371514	GEO	public	sra	ncbi	0	SINGLE	size fractionation	TRANSCRIPTOMIC	synthetic construct	2018-07-09	SRP098948	SynthEQ	Synthetic smallRNA; Equimolar Pool
50	SAMN06309320	SRX2541785	Illumina HiSeq 4000	2017-02-06	537	209	ILLUMINA	SRR5234265	SRS1960976	GSM2478869	Lab4	miRNA-Seq	PRJNA371514	GEO	public	sra	ncbi	0	SINGLE	size fractionation	TRANSCRIPTOMIC	synthetic construct	2018-07-09	SRP098948	SynthEQ	Synthetic smallRNA; Equimolar Pool
50	SAMN06309320	SRX2541785	Illumina HiSeq 4000	2017-02-06	595	229	ILLUMINA	SRR5234266	SRS1960976	GSM2478869	Lab4	miRNA-Seq	PRJNA371514	GEO	public	sra	ncbi	0	SINGLE	size fractionation	TRANSCRIPTOMIC	synthetic construct	2018-07-09	SRP098948	SynthEQ	Synthetic smallRNA; Equimolar Pool
