group.y,lib.size
Lab1 NEBNext,1913269
Lab1 NEBNext,1871417
Lab1 NEBNext,1420657
Lab1 NEBNext,1340814
Lab2 NEBNext,2152878
Lab2 NEBNext,1964992
Lab2 NEBNext,2067463
Lab2 NEBNext,1943147
Lab5 NEBNext,1614229
Lab5 NEBNext,1756815
Lab5 NEBNext,1225995
Lab5 NEBNext,1705159
Lab4 TrueSeq,530555
Lab4 TrueSeq,443449
Lab4 TrueSeq,463902
Lab4 TrueSeq,471217
Lab4 NEBNext,203396
Lab4 NEBNext,205055
Lab4 NEBNext,212047
Lab4 NEBNext,151509
Lab2 TrueSeq,1355972
Lab2 TrueSeq,1355474
Lab2 TrueSeq,1155934
Lab2 TrueSeq,1282587
Lab5 TrueSeq,1406193
Lab5 TrueSeq,1707791
Lab5 TrueSeq,1655407
Lab5 TrueSeq,1802003
Lab1 TrueSeq,5141
Lab1 TrueSeq,87411
Lab1 TrueSeq,192319
Lab1 TrueSeq,48110
