group.y,lib.size
Lab1 NEBNext,2057151
Lab1 NEBNext,2010459
Lab1 NEBNext,1539092
Lab1 NEBNext,1465105
Lab2 NEBNext,2351806
Lab2 NEBNext,2141199
Lab2 NEBNext,2264071
Lab2 NEBNext,2128891
Lab5 NEBNext,1813316
Lab5 NEBNext,1967612
Lab5 NEBNext,1369219
Lab5 NEBNext,1901443
Lab4 TrueSeq,555288
Lab4 TrueSeq,462978
Lab4 TrueSeq,484677
Lab4 TrueSeq,492154
Lab4 NEBNext,249158
Lab4 NEBNext,253388
Lab4 NEBNext,261221
Lab4 NEBNext,202247
Lab2 TrueSeq,1386366
Lab2 TrueSeq,1378092
Lab2 TrueSeq,1178309
Lab2 TrueSeq,1352539
Lab5 TrueSeq,1418981
Lab5 TrueSeq,1721762
Lab5 TrueSeq,1669653
Lab5 TrueSeq,1816533
Lab1 TrueSeq,6085
Lab1 TrueSeq,257803
Lab1 TrueSeq,334226
Lab1 TrueSeq,115187
