group,iso,pct_cat,tool,disp,exp,n
Lab1 NEBNext,add3p,<0.1,mirge,1.828541988905723,0.5206308635069615,833
Lab1 NEBNext,add3p,0.1-1,mirge,1.828541988905723,1.0681980781574594,1387
Lab1 NEBNext,add3p,1-5,mirge,1.828541988905723,1.330717783423701,610
Lab1 NEBNext,add3p,5-10,mirge,2.0179722240576523,1.2844837641907494,81
Lab1 NEBNext,add3p,10-20,mirge,1.986971392007349,1.8110201338155467,37
Lab1 NEBNext,add3p,20-50,mirge,2.471003638757253,1.9549795032883157,14
Lab1 NEBNext,add3p,>50,mirge,3.210257692904448,1.502067814463142,4
Lab1 NEBNext,add3p shift5p,<0.1,mirge,1.828541988905723,0.5244501747522408,360
Lab1 NEBNext,add3p shift5p,0.1-1,mirge,1.828541988905723,0.7128216775099776,647
Lab1 NEBNext,add3p shift5p,1-5,mirge,1.828541988905723,0.6635723597564454,308
Lab1 NEBNext,add3p shift5p,5-10,mirge,2.2858293624759654,1.0952666934284303,55
Lab1 NEBNext,add3p shift5p,10-20,mirge,2.5747204926912075,1.4872841528370393,21
Lab1 NEBNext,add3p shift5p,20-50,mirge,2.8141000497481103,1.454166057691275,14
Lab1 NEBNext,inv + other,<0.1,mirge,1.828541988905723,0.38529400356337123,33763
Lab1 NEBNext,inv + other,0.1-1,mirge,1.828541988905723,0.3894081429472351,25990
Lab1 NEBNext,inv + other,1-5,mirge,1.828541988905723,0.3894081429472351,17975
Lab1 NEBNext,inv + other,5-10,mirge,1.828541988905723,0.9345692666860721,4658
Lab1 NEBNext,inv + other,10-20,mirge,2.583551878023087,1.498510269954507,2495
Lab1 NEBNext,inv + other,20-50,mirge,2.6851712321260495,1.6256760624114892,1237
Lab1 NEBNext,inv + other,>50,mirge,1.828541988905723,1.2409208693767224,300
Lab1 NEBNext,reference,0.1-1,mirge,0.9541474270975558,8.347559515045907,26
Lab1 NEBNext,reference,1-5,mirge,1.4439891702453937,2.7092171945291827,179
Lab1 NEBNext,reference,5-10,mirge,1.7528716887030211,2.3211792224279555,123
Lab1 NEBNext,reference,10-20,mirge,1.633673612118403,2.5378475623039187,107
Lab1 NEBNext,reference,20-50,mirge,2.307934868301954,1.6249875411600234,53
Lab1 NEBNext,reference,>50,mirge,1.828541988905723,0.6789636247174573,7
Lab1 NEBNext,shift3p,<0.1,mirge,1.828541988905723,0.7647190777493811,14
Lab1 NEBNext,shift3p,0.1-1,mirge,1.828541988905723,2.1666339752431973,337
Lab1 NEBNext,shift3p,1-5,mirge,1.828541988905723,2.302413592455943,627
Lab1 NEBNext,shift3p,5-10,mirge,1.9008442479575183,2.170987077146665,211
