group.y,lib.size
Lab1 NEBNext,2011879
Lab1 NEBNext,1979828
Lab1 NEBNext,1531166
Lab1 NEBNext,1462134
Lab2 NEBNext,2240258
Lab2 NEBNext,2054240
Lab2 NEBNext,2128064
Lab2 NEBNext,2000387
Lab5 NEBNext,1702966
Lab5 NEBNext,1837756
Lab5 NEBNext,1277480
Lab5 NEBNext,1793482
Lab4 TrueSeq,548324
Lab4 TrueSeq,458882
Lab4 TrueSeq,479502
Lab4 TrueSeq,485859
Lab4 NEBNext,211273
Lab4 NEBNext,212979
Lab4 NEBNext,220225
Lab4 NEBNext,157973
Lab2 TrueSeq,1353807
Lab2 TrueSeq,1351294
Lab2 TrueSeq,1153165
Lab2 TrueSeq,1286890
Lab5 TrueSeq,1408926
Lab5 TrueSeq,1710523
Lab5 TrueSeq,1658981
Lab5 TrueSeq,1804842
Lab1 TrueSeq,6970
Lab1 TrueSeq,574647
Lab1 TrueSeq,604681
Lab1 TrueSeq,227167
