X1,category,sample,counts,lab,lib_method_simple,lane,replicate
0,iso_3p_sum,DE-PlasmaMP-NEB-1_S1_R1_001,814713,Lab1,NEBNext,NA,1
1,iso_5p_sum,DE-PlasmaMP-NEB-1_S1_R1_001,79759,Lab1,NEBNext,NA,1
2,iso_add_sum,DE-PlasmaMP-NEB-1_S1_R1_001,457892,Lab1,NEBNext,NA,1
3,iso_snp_sum,DE-PlasmaMP-NEB-1_S1_R1_001,41612,Lab1,NEBNext,NA,1
4,iso_snp_central_sum,DE-PlasmaMP-NEB-1_S1_R1_001,29589,Lab1,NEBNext,NA,1
5,iso_snp_central_offset_sum,DE-PlasmaMP-NEB-1_S1_R1_001,10090,Lab1,NEBNext,NA,1
6,iso_snp_central_supp_sum,DE-PlasmaMP-NEB-1_S1_R1_001,33674,Lab1,NEBNext,NA,1
7,iso_snp_seed_sum,DE-PlasmaMP-NEB-1_S1_R1_001,40921,Lab1,NEBNext,NA,1
8,isomiR_sum,DE-PlasmaMP-NEB-1_S1_R1_001,1118960,Lab1,NEBNext,NA,1
9,ref_miRNA_sum,DE-PlasmaMP-NEB-1_S1_R1_001,794309,Lab1,NEBNext,NA,1
0,iso_3p_count,DE-PlasmaMP-NEB-1_S1_R1_001,10345,Lab1,NEBNext,NA,1
1,iso_5p_count,DE-PlasmaMP-NEB-1_S1_R1_001,2100,Lab1,NEBNext,NA,1
2,iso_add_count,DE-PlasmaMP-NEB-1_S1_R1_001,8720,Lab1,NEBNext,NA,1
3,iso_snp_count,DE-PlasmaMP-NEB-1_S1_R1_001,2690,Lab1,NEBNext,NA,1
4,iso_snp_central_count,DE-PlasmaMP-NEB-1_S1_R1_001,2214,Lab1,NEBNext,NA,1
5,iso_snp_central_offset_count,DE-PlasmaMP-NEB-1_S1_R1_001,652,Lab1,NEBNext,NA,1
6,iso_snp_central_supp_count,DE-PlasmaMP-NEB-1_S1_R1_001,2555,Lab1,NEBNext,NA,1
7,iso_snp_seed_count,DE-PlasmaMP-NEB-1_S1_R1_001,3254,Lab1,NEBNext,NA,1
8,isomiR_count,DE-PlasmaMP-NEB-1_S1_R1_001,15964,Lab1,NEBNext,NA,1
9,ref_miRNA_count,DE-PlasmaMP-NEB-1_S1_R1_001,381,Lab1,NEBNext,NA,1
0,iso_3p_mean,DE-PlasmaMP-NEB-1_S1_R1_001,78.7542774287,Lab1,NEBNext,NA,1
1,iso_5p_mean,DE-PlasmaMP-NEB-1_S1_R1_001,37.9804761905,Lab1,NEBNext,NA,1
2,iso_add_mean,DE-PlasmaMP-NEB-1_S1_R1_001,52.5105504587,Lab1,NEBNext,NA,1
3,iso_snp_mean,DE-PlasmaMP-NEB-1_S1_R1_001,15.4691449814,Lab1,NEBNext,NA,1
4,iso_snp_central_mean,DE-PlasmaMP-NEB-1_S1_R1_001,13.364498645,Lab1,NEBNext,NA,1
5,iso_snp_central_offset_mean,DE-PlasmaMP-NEB-1_S1_R1_001,15.4754601227,Lab1,NEBNext,NA,1
6,iso_snp_central_supp_mean,DE-PlasmaMP-NEB-1_S1_R1_001,13.1796477495,Lab1,NEBNext,NA,1
7,iso_snp_seed_mean,DE-PlasmaMP-NEB-1_S1_R1_001,12.5755992624,Lab1,NEBNext,NA,1
8,isomiR_mean,DE-PlasmaMP-NEB-1_S1_R1_001,70.0927085943,Lab1,NEBNext,NA,1
9,ref_miRNA_mean,DE-PlasmaMP-NEB-1_S1_R1_001,2084.80052493,Lab1,NEBNext,NA,1
0,iso_3p_sum,DE-PlasmaMP-NEB-2_S2_R1_001,822220,Lab1,NEBNext,NA,2
1,iso_5p_sum,DE-PlasmaMP-NEB-2_S2_R1_001,79363,Lab1,NEBNext,NA,2
2,iso_add_sum,DE-PlasmaMP-NEB-2_S2_R1_001,468708,Lab1,NEBNext,NA,2
3,iso_snp_sum,DE-PlasmaMP-NEB-2_S2_R1_001,41048,Lab1,NEBNext,NA,2
4,iso_snp_central_sum,DE-PlasmaMP-NEB-2_S2_R1_001,28519,Lab1,NEBNext,NA,2
5,iso_snp_central_offset_sum,DE-PlasmaMP-NEB-2_S2_R1_001,9313,Lab1,NEBNext,NA,2
6,iso_snp_central_supp_sum,DE-PlasmaMP-NEB-2_S2_R1_001,33079,Lab1,NEBNext,NA,2
7,iso_snp_seed_sum,DE-PlasmaMP-NEB-2_S2_R1_001,40396,Lab1,NEBNext,NA,2
8,isomiR_sum,DE-PlasmaMP-NEB-2_S2_R1_001,1111179,Lab1,NEBNext,NA,2
9,ref_miRNA_sum,DE-PlasmaMP-NEB-2_S2_R1_001,760238,Lab1,NEBNext,NA,2
0,iso_3p_count,DE-PlasmaMP-NEB-2_S2_R1_001,10069,Lab1,NEBNext,NA,2
1,iso_5p_count,DE-PlasmaMP-NEB-2_S2_R1_001,2062,Lab1,NEBNext,NA,2
2,iso_add_count,DE-PlasmaMP-NEB-2_S2_R1_001,8400,Lab1,NEBNext,NA,2
3,iso_snp_count,DE-PlasmaMP-NEB-2_S2_R1_001,2555,Lab1,NEBNext,NA,2
4,iso_snp_central_count,DE-PlasmaMP-NEB-2_S2_R1_001,2061,Lab1,NEBNext,NA,2
5,iso_snp_central_offset_count,DE-PlasmaMP-NEB-2_S2_R1_001,580,Lab1,NEBNext,NA,2
6,iso_snp_central_supp_count,DE-PlasmaMP-NEB-2_S2_R1_001,2464,Lab1,NEBNext,NA,2
7,iso_snp_seed_count,DE-PlasmaMP-NEB-2_S2_R1_001,3091,Lab1,NEBNext,NA,2
8,isomiR_count,DE-PlasmaMP-NEB-2_S2_R1_001,15396,Lab1,NEBNext,NA,2
9,ref_miRNA_count,DE-PlasmaMP-NEB-2_S2_R1_001,345,Lab1,NEBNext,NA,2
0,iso_3p_mean,DE-PlasmaMP-NEB-2_S2_R1_001,81.6585559638,Lab1,NEBNext,NA,2
1,iso_5p_mean,DE-PlasmaMP-NEB-2_S2_R1_001,38.4883608147,Lab1,NEBNext,NA,2
2,iso_add_mean,DE-PlasmaMP-NEB-2_S2_R1_001,55.7985714286,Lab1,NEBNext,NA,2
3,iso_snp_mean,DE-PlasmaMP-NEB-2_S2_R1_001,16.0657534247,Lab1,NEBNext,NA,2
4,iso_snp_central_mean,DE-PlasmaMP-NEB-2_S2_R1_001,13.8374575449,Lab1,NEBNext,NA,2
5,iso_snp_central_offset_mean,DE-PlasmaMP-NEB-2_S2_R1_001,16.0568965517,Lab1,NEBNext,NA,2
6,iso_snp_central_supp_mean,DE-PlasmaMP-NEB-2_S2_R1_001,13.4249188312,Lab1,NEBNext,NA,2
7,iso_snp_seed_mean,DE-PlasmaMP-NEB-2_S2_R1_001,13.0689097379,Lab1,NEBNext,NA,2
8,isomiR_mean,DE-PlasmaMP-NEB-2_S2_R1_001,72.1732268122,Lab1,NEBNext,NA,2
9,ref_miRNA_mean,DE-PlasmaMP-NEB-2_S2_R1_001,2203.5884058,Lab1,NEBNext,NA,2
0,iso_3p_sum,DE-PlasmaMP-NEB-3_S3_R1_001,600105,Lab1,NEBNext,NA,3
1,iso_5p_sum,DE-PlasmaMP-NEB-3_S3_R1_001,58541,Lab1,NEBNext,NA,3
2,iso_add_sum,DE-PlasmaMP-NEB-3_S3_R1_001,307837,Lab1,NEBNext,NA,3
3,iso_snp_sum,DE-PlasmaMP-NEB-3_S3_R1_001,30428,Lab1,NEBNext,NA,3
4,iso_snp_central_sum,DE-PlasmaMP-NEB-3_S3_R1_001,21344,Lab1,NEBNext,NA,3
5,iso_snp_central_offset_sum,DE-PlasmaMP-NEB-3_S3_R1_001,7125,Lab1,NEBNext,NA,3
6,iso_snp_central_supp_sum,DE-PlasmaMP-NEB-3_S3_R1_001,24701,Lab1,NEBNext,NA,3
7,iso_snp_seed_sum,DE-PlasmaMP-NEB-3_S3_R1_001,30799,Lab1,NEBNext,NA,3
8,isomiR_sum,DE-PlasmaMP-NEB-3_S3_R1_001,813346,Lab1,NEBNext,NA,3
9,ref_miRNA_sum,DE-PlasmaMP-NEB-3_S3_R1_001,607311,Lab1,NEBNext,NA,3
0,iso_3p_count,DE-PlasmaMP-NEB-3_S3_R1_001,8307,Lab1,NEBNext,NA,3
1,iso_5p_count,DE-PlasmaMP-NEB-3_S3_R1_001,1680,Lab1,NEBNext,NA,3
2,iso_add_count,DE-PlasmaMP-NEB-3_S3_R1_001,6536,Lab1,NEBNext,NA,3
3,iso_snp_count,DE-PlasmaMP-NEB-3_S3_R1_001,2074,Lab1,NEBNext,NA,3
4,iso_snp_central_count,DE-PlasmaMP-NEB-3_S3_R1_001,1667,Lab1,NEBNext,NA,3
5,iso_snp_central_offset_count,DE-PlasmaMP-NEB-3_S3_R1_001,484,Lab1,NEBNext,NA,3
6,iso_snp_central_supp_count,DE-PlasmaMP-NEB-3_S3_R1_001,1961,Lab1,NEBNext,NA,3
7,iso_snp_seed_count,DE-PlasmaMP-NEB-3_S3_R1_001,2514,Lab1,NEBNext,NA,3
8,isomiR_count,DE-PlasmaMP-NEB-3_S3_R1_001,12715,Lab1,NEBNext,NA,3
9,ref_miRNA_count,DE-PlasmaMP-NEB-3_S3_R1_001,337,Lab1,NEBNext,NA,3
0,iso_3p_mean,DE-PlasmaMP-NEB-3_S3_R1_001,72.2408811845,Lab1,NEBNext,NA,3
1,iso_5p_mean,DE-PlasmaMP-NEB-3_S3_R1_001,34.8458333333,Lab1,NEBNext,NA,3
2,iso_add_mean,DE-PlasmaMP-NEB-3_S3_R1_001,47.0986842105,Lab1,NEBNext,NA,3
3,iso_snp_mean,DE-PlasmaMP-NEB-3_S3_R1_001,14.6711668274,Lab1,NEBNext,NA,3
4,iso_snp_central_mean,DE-PlasmaMP-NEB-3_S3_R1_001,12.8038392322,Lab1,NEBNext,NA,3
5,iso_snp_central_offset_mean,DE-PlasmaMP-NEB-3_S3_R1_001,14.7210743802,Lab1,NEBNext,NA,3
6,iso_snp_central_supp_mean,DE-PlasmaMP-NEB-3_S3_R1_001,12.5961244263,Lab1,NEBNext,NA,3
7,iso_snp_seed_mean,DE-PlasmaMP-NEB-3_S3_R1_001,12.2509944312,Lab1,NEBNext,NA,3
8,isomiR_mean,DE-PlasmaMP-NEB-3_S3_R1_001,63.9674400315,Lab1,NEBNext,NA,3
9,ref_miRNA_mean,DE-PlasmaMP-NEB-3_S3_R1_001,1802.10979228,Lab1,NEBNext,NA,3
0,iso_3p_sum,DE-PlasmaMP-NEB-4_S4_R1_001,588916,Lab1,NEBNext,NA,4
1,iso_5p_sum,DE-PlasmaMP-NEB-4_S4_R1_001,55124,Lab1,NEBNext,NA,4
2,iso_add_sum,DE-PlasmaMP-NEB-4_S4_R1_001,299256,Lab1,NEBNext,NA,4
3,iso_snp_sum,DE-PlasmaMP-NEB-4_S4_R1_001,27711,Lab1,NEBNext,NA,4
4,iso_snp_central_sum,DE-PlasmaMP-NEB-4_S4_R1_001,20558,Lab1,NEBNext,NA,4
5,iso_snp_central_offset_sum,DE-PlasmaMP-NEB-4_S4_R1_001,6689,Lab1,NEBNext,NA,4
6,iso_snp_central_supp_sum,DE-PlasmaMP-NEB-4_S4_R1_001,23437,Lab1,NEBNext,NA,4
7,iso_snp_seed_sum,DE-PlasmaMP-NEB-4_S4_R1_001,28649,Lab1,NEBNext,NA,4
8,isomiR_sum,DE-PlasmaMP-NEB-4_S4_R1_001,785181,Lab1,NEBNext,NA,4
9,ref_miRNA_sum,DE-PlasmaMP-NEB-4_S4_R1_001,555633,Lab1,NEBNext,NA,4
0,iso_3p_count,DE-PlasmaMP-NEB-4_S4_R1_001,8369,Lab1,NEBNext,NA,4
1,iso_5p_count,DE-PlasmaMP-NEB-4_S4_R1_001,1669,Lab1,NEBNext,NA,4
2,iso_add_count,DE-PlasmaMP-NEB-4_S4_R1_001,6762,Lab1,NEBNext,NA,4
3,iso_snp_count,DE-PlasmaMP-NEB-4_S4_R1_001,2019,Lab1,NEBNext,NA,4
4,iso_snp_central_count,DE-PlasmaMP-NEB-4_S4_R1_001,1657,Lab1,NEBNext,NA,4
5,iso_snp_central_offset_count,DE-PlasmaMP-NEB-4_S4_R1_001,466,Lab1,NEBNext,NA,4
6,iso_snp_central_supp_count,DE-PlasmaMP-NEB-4_S4_R1_001,1976,Lab1,NEBNext,NA,4
7,iso_snp_seed_count,DE-PlasmaMP-NEB-4_S4_R1_001,2512,Lab1,NEBNext,NA,4
8,isomiR_count,DE-PlasmaMP-NEB-4_S4_R1_001,12761,Lab1,NEBNext,NA,4
9,ref_miRNA_count,DE-PlasmaMP-NEB-4_S4_R1_001,308,Lab1,NEBNext,NA,4
0,iso_3p_mean,DE-PlasmaMP-NEB-4_S4_R1_001,70.3687417852,Lab1,NEBNext,NA,4
1,iso_5p_mean,DE-PlasmaMP-NEB-4_S4_R1_001,33.0281605752,Lab1,NEBNext,NA,4
2,iso_add_mean,DE-PlasmaMP-NEB-4_S4_R1_001,44.2555456965,Lab1,NEBNext,NA,4
3,iso_snp_mean,DE-PlasmaMP-NEB-4_S4_R1_001,13.7251114413,Lab1,NEBNext,NA,4
4,iso_snp_central_mean,DE-PlasmaMP-NEB-4_S4_R1_001,12.4067592034,Lab1,NEBNext,NA,4
5,iso_snp_central_offset_mean,DE-PlasmaMP-NEB-4_S4_R1_001,14.3540772532,Lab1,NEBNext,NA,4
6,iso_snp_central_supp_mean,DE-PlasmaMP-NEB-4_S4_R1_001,11.8608299595,Lab1,NEBNext,NA,4
7,iso_snp_seed_mean,DE-PlasmaMP-NEB-4_S4_R1_001,11.4048566879,Lab1,NEBNext,NA,4
8,isomiR_mean,DE-PlasmaMP-NEB-4_S4_R1_001,61.5297390487,Lab1,NEBNext,NA,4
9,ref_miRNA_mean,DE-PlasmaMP-NEB-4_S4_R1_001,1804.00324675,Lab1,NEBNext,NA,4
0,iso_3p_sum,DG-PlasmaMP-NEB-1_S18_R1_001,869238,Lab2,NEBNext,NA,1
1,iso_5p_sum,DG-PlasmaMP-NEB-1_S18_R1_001,99095,Lab2,NEBNext,NA,1
2,iso_add_sum,DG-PlasmaMP-NEB-1_S18_R1_001,444080,Lab2,NEBNext,NA,1
3,iso_snp_sum,DG-PlasmaMP-NEB-1_S18_R1_001,43007,Lab2,NEBNext,NA,1
4,iso_snp_central_sum,DG-PlasmaMP-NEB-1_S18_R1_001,28908,Lab2,NEBNext,NA,1
5,iso_snp_central_offset_sum,DG-PlasmaMP-NEB-1_S18_R1_001,10573,Lab2,NEBNext,NA,1
6,iso_snp_central_supp_sum,DG-PlasmaMP-NEB-1_S18_R1_001,33626,Lab2,NEBNext,NA,1
7,iso_snp_seed_sum,DG-PlasmaMP-NEB-1_S18_R1_001,41172,Lab2,NEBNext,NA,1
8,isomiR_sum,DG-PlasmaMP-NEB-1_S18_R1_001,1191957,Lab2,NEBNext,NA,1
9,ref_miRNA_sum,DG-PlasmaMP-NEB-1_S18_R1_001,960921,Lab2,NEBNext,NA,1
0,iso_3p_count,DG-PlasmaMP-NEB-1_S18_R1_001,7518,Lab2,NEBNext,NA,1
1,iso_5p_count,DG-PlasmaMP-NEB-1_S18_R1_001,1600,Lab2,NEBNext,NA,1
2,iso_add_count,DG-PlasmaMP-NEB-1_S18_R1_001,5971,Lab2,NEBNext,NA,1
3,iso_snp_count,DG-PlasmaMP-NEB-1_S18_R1_001,2053,Lab2,NEBNext,NA,1
4,iso_snp_central_count,DG-PlasmaMP-NEB-1_S18_R1_001,1662,Lab2,NEBNext,NA,1
5,iso_snp_central_offset_count,DG-PlasmaMP-NEB-1_S18_R1_001,478,Lab2,NEBNext,NA,1
6,iso_snp_central_supp_count,DG-PlasmaMP-NEB-1_S18_R1_001,1984,Lab2,NEBNext,NA,1
7,iso_snp_seed_count,DG-PlasmaMP-NEB-1_S18_R1_001,2549,Lab2,NEBNext,NA,1
8,isomiR_count,DG-PlasmaMP-NEB-1_S18_R1_001,11734,Lab2,NEBNext,NA,1
9,ref_miRNA_count,DG-PlasmaMP-NEB-1_S18_R1_001,216,Lab2,NEBNext,NA,1
0,iso_3p_mean,DG-PlasmaMP-NEB-1_S18_R1_001,115.620909816,Lab2,NEBNext,NA,1
1,iso_5p_mean,DG-PlasmaMP-NEB-1_S18_R1_001,61.934375,Lab2,NEBNext,NA,1
2,iso_add_mean,DG-PlasmaMP-NEB-1_S18_R1_001,74.3728018757,Lab2,NEBNext,NA,1
3,iso_snp_mean,DG-PlasmaMP-NEB-1_S18_R1_001,20.9483682416,Lab2,NEBNext,NA,1
4,iso_snp_central_mean,DG-PlasmaMP-NEB-1_S18_R1_001,17.3935018051,Lab2,NEBNext,NA,1
5,iso_snp_central_offset_mean,DG-PlasmaMP-NEB-1_S18_R1_001,22.1192468619,Lab2,NEBNext,NA,1
6,iso_snp_central_supp_mean,DG-PlasmaMP-NEB-1_S18_R1_001,16.9485887097,Lab2,NEBNext,NA,1
7,iso_snp_seed_mean,DG-PlasmaMP-NEB-1_S18_R1_001,16.1522165555,Lab2,NEBNext,NA,1
8,isomiR_mean,DG-PlasmaMP-NEB-1_S18_R1_001,101.581472644,Lab2,NEBNext,NA,1
9,ref_miRNA_mean,DG-PlasmaMP-NEB-1_S18_R1_001,4448.70833333,Lab2,NEBNext,NA,1
0,iso_3p_sum,DG-PlasmaMP-NEB-2_S19_R1_001,785760,Lab2,NEBNext,NA,2
1,iso_5p_sum,DG-PlasmaMP-NEB-2_S19_R1_001,91765,Lab2,NEBNext,NA,2
2,iso_add_sum,DG-PlasmaMP-NEB-2_S19_R1_001,400964,Lab2,NEBNext,NA,2
3,iso_snp_sum,DG-PlasmaMP-NEB-2_S19_R1_001,39768,Lab2,NEBNext,NA,2
4,iso_snp_central_sum,DG-PlasmaMP-NEB-2_S19_R1_001,26987,Lab2,NEBNext,NA,2
5,iso_snp_central_offset_sum,DG-PlasmaMP-NEB-2_S19_R1_001,9330,Lab2,NEBNext,NA,2
6,iso_snp_central_supp_sum,DG-PlasmaMP-NEB-2_S19_R1_001,32929,Lab2,NEBNext,NA,2
7,iso_snp_seed_sum,DG-PlasmaMP-NEB-2_S19_R1_001,38367,Lab2,NEBNext,NA,2
8,isomiR_sum,DG-PlasmaMP-NEB-2_S19_R1_001,1080585,Lab2,NEBNext,NA,2
9,ref_miRNA_sum,DG-PlasmaMP-NEB-2_S19_R1_001,884407,Lab2,NEBNext,NA,2
0,iso_3p_count,DG-PlasmaMP-NEB-2_S19_R1_001,7154,Lab2,NEBNext,NA,2
1,iso_5p_count,DG-PlasmaMP-NEB-2_S19_R1_001,1495,Lab2,NEBNext,NA,2
2,iso_add_count,DG-PlasmaMP-NEB-2_S19_R1_001,5635,Lab2,NEBNext,NA,2
