X1,category,sample,counts,lab,lib_method_simple,lane,replicate
23,iso_3p_sum,DE-PlasmaMP-NEB-1_S1_R1_001,580127,Lab1,NEBNext,NA,1
24,iso_3p_sum,DE-PlasmaMP-NEB-2_S2_R1_001,568055,Lab1,NEBNext,NA,2
25,iso_3p_sum,DE-PlasmaMP-NEB-3_S3_R1_001,450358,Lab1,NEBNext,NA,3
26,iso_3p_sum,DE-PlasmaMP-NEB-4_S4_R1_001,440685,Lab1,NEBNext,NA,4
27,iso_3p_sum,DG-PlasmaMP-NEB-1_S18_R1_001,636020,Lab2,NEBNext,NA,1
28,iso_3p_sum,DG-PlasmaMP-NEB-2_S19_R1_001,577904,Lab2,NEBNext,NA,2
29,iso_3p_sum,DG-PlasmaMP-NEB-3_S20_R1_001,585001,Lab2,NEBNext,NA,3
30,iso_3p_sum,DG-PlasmaMP-NEB-4_S21_R1_001,537654,Lab2,NEBNext,NA,4
39,iso_3p_sum,NEB-Plasma-1_S85553_AGTCAA,458400,Lab5,NEBNext,NA,1
40,iso_3p_sum,NEB-Plasma-3_S85555_ATGTCA,362792,Lab5,NEBNext,NA,3
41,iso_3p_sum,NEB-Plasma-4_S85556_CCGTCC,536449,Lab5,NEBNext,NA,4
42,iso_3p_sum,PT_37_S5_L001_R1_001,114379,Lab4,TrueSeq,NA,1
43,iso_3p_sum,PT_38_S6_L001_R1_001,91601,Lab4,TrueSeq,NA,2
44,iso_3p_sum,PT_39_S7_L001_R1_001,96792,Lab4,TrueSeq,NA,3
45,iso_3p_sum,PT_40_S8_L001_R1_001,98146,Lab4,TrueSeq,NA,4
50,iso_3p_sum,Plas_N13_S13_L008_R1_001,58056,Lab4,NEBNext,NA,1
51,iso_3p_sum,Plas_N14_S14_L008_R1_001,58136,Lab4,NEBNext,NA,2
52,iso_3p_sum,Plas_N15_S15_L008_R1_001,59734,Lab4,NEBNext,NA,3
53,iso_3p_sum,Plas_N16_S16_L008_R1_001,42675,Lab4,NEBNext,NA,4
70,iso_3p_sum,PlasmaMP-TruSeq-1,352741,Lab2,TrueSeq,NA,1
71,iso_3p_sum,PlasmaMP-TruSeq-2,346300,Lab2,TrueSeq,NA,2
72,iso_3p_sum,PlasmaMP-TruSeq-3,298288,Lab2,TrueSeq,NA,3
73,iso_3p_sum,PlasmaMP-TruSeq-4,335253,Lab2,TrueSeq,NA,4
74,iso_3p_sum,PlasmaTruSeq-1_63786_CCGTCC_S5_L006_R1_001,368937,Lab5,TrueSeq,NA,1
75,iso_3p_sum,PlasmaTruSeq-2_63787_GTAGAG_S6_L006_R1_001,450736,Lab5,TrueSeq,NA,2
76,iso_3p_sum,PlasmaTruSeq-3_63788_GTCCGC_S7_L006_R1_001,434754,Lab5,TrueSeq,NA,3
77,iso_3p_sum,PlasmaTruSeq-4_63789_GTGAAA_S8_L006_R1_001,474026,Lab5,TrueSeq,NA,4
78,iso_3p_sum,TruSeq_Plasma_1_S123_L008_R1_001,673,Lab1,TrueSeq,NA,1
79,iso_3p_sum,TruSeq_Plasma_2_S124_L008_R1_001,2652,Lab1,TrueSeq,NA,2
80,iso_3p_sum,TruSeq_Plasma_3_S125_L008_R1_001,4609,Lab1,TrueSeq,NA,3
81,iso_3p_sum,TruSeq_Plasma_4_S126_L008_R1_001,1671,Lab1,TrueSeq,NA,4
125,iso_5p_sum,DE-PlasmaMP-NEB-1_S1_R1_001,32424,Lab1,NEBNext,NA,1
126,iso_5p_sum,DE-PlasmaMP-NEB-2_S2_R1_001,31503,Lab1,NEBNext,NA,2
127,iso_5p_sum,DE-PlasmaMP-NEB-3_S3_R1_001,24420,Lab1,NEBNext,NA,3
128,iso_5p_sum,DE-PlasmaMP-NEB-4_S4_R1_001,21538,Lab1,NEBNext,NA,4
129,iso_5p_sum,DG-PlasmaMP-NEB-1_S18_R1_001,38930,Lab2,NEBNext,NA,1
130,iso_5p_sum,DG-PlasmaMP-NEB-2_S19_R1_001,35335,Lab2,NEBNext,NA,2
131,iso_5p_sum,DG-PlasmaMP-NEB-3_S20_R1_001,35235,Lab2,NEBNext,NA,3
132,iso_5p_sum,DG-PlasmaMP-NEB-4_S21_R1_001,32441,Lab2,NEBNext,NA,4
141,iso_5p_sum,NEB-Plasma-1_S85553_AGTCAA,32982,Lab5,NEBNext,NA,1
142,iso_5p_sum,NEB-Plasma-3_S85555_ATGTCA,20719,Lab5,NEBNext,NA,3
143,iso_5p_sum,NEB-Plasma-4_S85556_CCGTCC,28419,Lab5,NEBNext,NA,4
144,iso_5p_sum,PT_37_S5_L001_R1_001,4472,Lab4,TrueSeq,NA,1
145,iso_5p_sum,PT_38_S6_L001_R1_001,3857,Lab4,TrueSeq,NA,2
146,iso_5p_sum,PT_39_S7_L001_R1_001,4079,Lab4,TrueSeq,NA,3
147,iso_5p_sum,PT_40_S8_L001_R1_001,4022,Lab4,TrueSeq,NA,4
152,iso_5p_sum,Plas_N13_S13_L008_R1_001,2534,Lab4,NEBNext,NA,1
153,iso_5p_sum,Plas_N14_S14_L008_R1_001,2506,Lab4,NEBNext,NA,2
154,iso_5p_sum,Plas_N15_S15_L008_R1_001,2797,Lab4,NEBNext,NA,3
155,iso_5p_sum,Plas_N16_S16_L008_R1_001,2123,Lab4,NEBNext,NA,4
172,iso_5p_sum,PlasmaMP-TruSeq-1,11596,Lab2,TrueSeq,NA,1
173,iso_5p_sum,PlasmaMP-TruSeq-2,11651,Lab2,TrueSeq,NA,2
174,iso_5p_sum,PlasmaMP-TruSeq-3,9598,Lab2,TrueSeq,NA,3
175,iso_5p_sum,PlasmaMP-TruSeq-4,10778,Lab2,TrueSeq,NA,4
176,iso_5p_sum,PlasmaTruSeq-1_63786_CCGTCC_S5_L006_R1_001,10410,Lab5,TrueSeq,NA,1
177,iso_5p_sum,PlasmaTruSeq-2_63787_GTAGAG_S6_L006_R1_001,13701,Lab5,TrueSeq,NA,2
178,iso_5p_sum,PlasmaTruSeq-3_63788_GTCCGC_S7_L006_R1_001,12915,Lab5,TrueSeq,NA,3
179,iso_5p_sum,PlasmaTruSeq-4_63789_GTGAAA_S8_L006_R1_001,13424,Lab5,TrueSeq,NA,4
180,iso_5p_sum,TruSeq_Plasma_1_S123_L008_R1_001,1296,Lab1,TrueSeq,NA,1
181,iso_5p_sum,TruSeq_Plasma_2_S124_L008_R1_001,17933,Lab1,TrueSeq,NA,2
182,iso_5p_sum,TruSeq_Plasma_3_S125_L008_R1_001,47539,Lab1,TrueSeq,NA,3
183,iso_5p_sum,TruSeq_Plasma_4_S126_L008_R1_001,10828,Lab1,TrueSeq,NA,4
227,iso_add_sum,DE-PlasmaMP-NEB-1_S1_R1_001,438242,Lab1,NEBNext,NA,1
228,iso_add_sum,DE-PlasmaMP-NEB-2_S2_R1_001,451164,Lab1,NEBNext,NA,2
229,iso_add_sum,DE-PlasmaMP-NEB-3_S3_R1_001,296660,Lab1,NEBNext,NA,3
230,iso_add_sum,DE-PlasmaMP-NEB-4_S4_R1_001,287123,Lab1,NEBNext,NA,4
231,iso_add_sum,DG-PlasmaMP-NEB-1_S18_R1_001,428096,Lab2,NEBNext,NA,1
232,iso_add_sum,DG-PlasmaMP-NEB-2_S19_R1_001,383320,Lab2,NEBNext,NA,2
233,iso_add_sum,DG-PlasmaMP-NEB-3_S20_R1_001,403404,Lab2,NEBNext,NA,3
234,iso_add_sum,DG-PlasmaMP-NEB-4_S21_R1_001,423799,Lab2,NEBNext,NA,4
243,iso_add_sum,NEB-Plasma-1_S85553_AGTCAA,352393,Lab5,NEBNext,NA,1
244,iso_add_sum,NEB-Plasma-3_S85555_ATGTCA,272199,Lab5,NEBNext,NA,3
245,iso_add_sum,NEB-Plasma-4_S85556_CCGTCC,358640,Lab5,NEBNext,NA,4
246,iso_add_sum,PT_37_S5_L001_R1_001,131074,Lab4,TrueSeq,NA,1
247,iso_add_sum,PT_38_S6_L001_R1_001,109203,Lab4,TrueSeq,NA,2
248,iso_add_sum,PT_39_S7_L001_R1_001,114928,Lab4,TrueSeq,NA,3
249,iso_add_sum,PT_40_S8_L001_R1_001,119051,Lab4,TrueSeq,NA,4
